"concept_id","concept_name"
783358,"Medroxyprogesterone 150 MG/ML Injectable Solution [Depo-Provera]"
784322,"3.3 ML Medroxyprogesterone 150 MG/ML Injectable Solution Box of 1"
784323,"3.3 ML Medroxyprogesterone 150 MG/ML Injectable Solution [Depo-Provera] Box of 1"
784324,"3.3 ML Medroxyprogesterone 150 MG/ML Injectable Solution [Depo-Provera] Box of 1 by Pfizer"
784325,"4 ML degarelix 19 MG/ML Injectable Solution Box of 1"
784326,"4 ML degarelix 19 MG/ML Injectable Solution [Firmagon] Box of 1"
784327,"4 ML degarelix 19 MG/ML Injectable Solution [Firmagon] Box of 1 by Ferring"
792351,"triptorelin 22.5 MG [Triptodur]"
792352,"triptorelin Injection [Triptodur]"
792354,"triptorelin 22.5 MG Injection [Triptodur]"
792577,"3-Month 1.5 ML leuprolide acetate 20 MG/ML Prefilled Syringe"
792578,"3-Month 1.5 ML leuprolide acetate 20 MG/ML Prefilled Syringe [Lupron]"
792579,"4-Month 1.5 ML leuprolide acetate 20 MG/ML Prefilled Syringe"
792580,"4-Month 1.5 ML leuprolide acetate 20 MG/ML Prefilled Syringe [Lupron]"
994617,"degarelix 80 MG Injectable Solution [Firmagon] by Kohlpharma"
994812,"Leuprolide 45 MG Prefilled Syringe"
994813,"Leuprolide 45 MG Prefilled Syringe [Eligard]"
994814,"Leuprolide 45 MG Prefilled Syringe [Eligard] by Abacus Medicine"
995237,"bicalutamide 150 MG Oral Tablet [Bicalutamid Puren] by Puren"
1145930,"leuprolide acetate 120 MG/ML [Fensolvi]"
1145931,"leuprolide Prefilled Syringe [Fensolvi]"
1145933,"leuprolide acetate 120 MG/ML Prefilled Syringe [Fensolvi]"
1146746,"0.375 ML leuprolide acetate 120 MG/ML Prefilled Syringe [Fensolvi]"
1201462,"Pediatric 1.5 ML leuprolide acetate 30 MG/ML Prefilled Syringe"
1201463,"Pediatric 1.5 ML leuprolide acetate 30 MG/ML Prefilled Syringe [Lupron]"
1201488,"Pediatric 1 ML leuprolide acetate 7.5 MG/ML Prefilled Syringe"
1201489,"Pediatric 1 ML leuprolide acetate 7.5 MG/ML Prefilled Syringe [Lupron]"
1201495,"Pediatric 1.5 ML leuprolide acetate 7.5 MG/ML Prefilled Syringe"
1201496,"Pediatric 1.5 ML leuprolide acetate 7.5 MG/ML Prefilled Syringe [Lupron]"
1300978,"megestrol"
1301000,"megestrol acetate 125 MG/ML"
1301001,"megestrol acetate 125 MG/ML Oral Suspension"
1315286,"nilutamide"
1315287,"nilutamide 50 MG Oral Tablet"
1315289,"nilutamide 100 MG Oral Tablet"
1315290,"nilutamide 150 MG Oral Tablet [Nilandron]"
1315291,"nilutamide 150 MG Oral Tablet"
1315312,"nilutamide 50 MG"
1315313,"nilutamide 150 MG"
1315314,"nilutamide 100 MG"
1343039,"triptorelin"
1343040,"triptorelin 3.75 MG Injection"
1344381,"bicalutamide"
1344403,"bicalutamide 50 MG Oral Tablet"
1344404,"bicalutamide 50 MG"
1351541,"leuprolide"
1351568,"leuprolide 65 MG Drug Implant"
1351598,"leuprolide 65 MG"
1351601,"leuprolide acetate 5 MG/ML"
1351622,"leuprolide acetate 5 MG/ML Injectable Solution"
1351623,"leuprolide acetate 3.75 MG/ML"
1351624,"leuprolide acetate 3.75 MG/ML Injectable Suspension"
1351625,"leuprolide acetate 20 MG/ML"
1351626,"leuprolide acetate 20 MG/ML Injectable Suspension"
1351627,"leuprolide acetate 5 MG/ML Injectable Suspension"
1351628,"leuprolide acetate 120 MG/ML"
1351629,"leuprolide acetate 120 MG/ML Injectable Suspension"
1351630,"leuprolide acetate 60 MG/ML"
1351662,"leuprolide acetate 30 MG/ML"
1351663,"leuprolide acetate 30 MG/ML Injectable Suspension"
1351670,"leuprolide 30 MG/ML"
1351671,"1 ML leuprolide 30 MG/ML Prefilled Syringe"
1351702,"0.375 ML leuprolide acetate 120 MG/ML Prefilled Syringe"
1351703,"0.5 ML leuprolide acetate 60 MG/ML Prefilled Syringe"
1351704,"0.375 ML leuprolide acetate 60 MG/ML Prefilled Syringe"
1351705,"0.25 ML leuprolide acetate 30 MG/ML Prefilled Syringe"
1351745,"0.375 ML leuprolide acetate 120 MG/ML Prefilled Syringe [Eligard]"
1351746,"0.5 ML leuprolide acetate 60 MG/ML Prefilled Syringe [Eligard]"
1351747,"0.25 ML leuprolide acetate 30 MG/ML Prefilled Syringe [Eligard]"
1351748,"0.375 ML leuprolide acetate 60 MG/ML Prefilled Syringe [Eligard]"
1356461,"flutamide"
1356482,"flutamide 125 MG Oral Capsule"
1356489,"flutamide 100 MG"
1356490,"flutamide 400 MG"
1366310,"goserelin"
1366332,"goserelin 10.8 MG Drug Implant [Zoladex]"
1366335,"goserelin 10.8 MG"
1366336,"goserelin 3.6 MG"
1366773,"histrelin"
1366774,"histrelin 1 MG/ML Injectable Solution"
1366775,"histrelin 0.5 MG/ML Injectable Solution"
1366776,"histrelin 0.2 MG/ML Injectable Solution"
1366777,"histrelin 1 MG/ML"
1366778,"histrelin 0.2 MG/ML"
1366779,"histrelin 0.5 MG/ML"
1500211,"medroxyprogesterone"
1500249,"medroxyprogesterone 50 MG/ML Injectable Suspension"
1500251,"medroxyprogesterone 500 MG Oral Capsule"
1500282,"medroxyprogesterone 50 MG Oral Capsule"
1500284,"medroxyprogesterone 5 MG"
1500285,"medroxyprogesterone 2.5 MG"
1500286,"medroxyprogesterone 100 MG/ML"
1500287,"medroxyprogesterone 10 MG"
1500291,"medroxyprogesterone 500 MG"
1593018,"triptorelin 3.75 MG"
1593019,"triptorelin Injection"
1593020,"triptorelin 3.75 MG [Trelstar]"
1593021,"triptorelin Injection [Trelstar]"
1593022,"triptorelin 22.5 MG"
1593023,"triptorelin 22.5 MG [Trelstar]"
1593024,"triptorelin 11.25 MG"
1593025,"triptorelin 11.25 MG [Trelstar]"
1718073,"degarelix 120 MG"
1718074,"degarelix Injection"
1718075,"degarelix 120 MG [Firmagon]"
1718076,"degarelix Injection [Firmagon]"
1718077,"degarelix 80 MG"
1718078,"degarelix 80 MG [Firmagon]"
1830759,"bicalutamide 50 MG Oral Tablet [Casodex] Box of 28 by Juvise"
1830760,"bicalutamide 150 MG Oral Tablet [Casodex] Box of 28 by Juvise"
1830825,"leuprolide 7.5 MG Injectable Solution [Eligard] by Recordati"
1830826,"leuprolide 22.5 MG Injectable Solution [Eligard] by Recordati"
1830827,"leuprolide 45 MG Injectable Solution [Eligard] by Recordati"
1971134,"triptorelin 11.25 MG Injectable Solution [Pamorelin La] by Emra-Med"
1971135,"triptorelin 11.25 MG Injectable Solution [Pamorelin La] by Axicorp"
1971136,"triptorelin 11.25 MG Injectable Solution [Pamorelin La] Box of 2"
1971137,"triptorelin 11.25 MG Injectable Solution [Pamorelin La] Box of 2 by Axicorp"
1971138,"bicalutamide 150 MG Oral Tablet Box of 90 by Allomedic"
1971139,"bicalutamide 150 MG Oral Tablet Box of 90 by Emra-Med"
1971152,"leuprolide 5.25 MG Prefilled Syringe by Emra-Med"
1971153,"leuprolide 5.25 MG Prefilled Syringe Box of 2 by Emra-Med"
1971154,"leuprolide 11.3 MG Prefilled Syringe [Leugon] Box of 2"
1971155,"leuprolide 11.3 MG Prefilled Syringe [Leugon] Box of 2 by Endomedica"
1971156,"leuprolide 22.5 MG Prefilled Syringe [Eligard] by Recordati"
1971157,"leuprolide 22.5 MG Prefilled Syringe [Eligard] by Originalis"
1971158,"leuprolide 22.5 MG Prefilled Syringe [Eligard] Box of 2 by Recordati"
1971159,"leuprolide 45 MG Prefilled Syringe [Eligard] by Recordati"
1971283,"goserelin 3.6 MG Prefilled Syringe [Zoladex] by Originalis"
1971284,"goserelin 3.6 MG Prefilled Syringe [Zoladex] by 2care4"
1971285,"goserelin 10.8 MG Prefilled Syringe [Zoladex] Box of 2 by Originalis"
2010042,"1 ML megestrol 40 MG/ML Oral Suspension [MEGESTAR] by Dong-a"
2012643,"flutamide 250 MG Oral Tablet [Eulexin] by Schering-Plough"
2024785,"500 ML megestrol 40 MG/ML Oral Suspension [MEGEROL]"
2024786,"500 ML megestrol 40 MG/ML Oral Suspension [MEGEROL] by Hanmi"
2024787,"500 ML megestrol 40 MG/ML Oral Suspension"
2024970,"363 ML megestrol 40 MG/ML Oral Suspension [MEGEROL]"
2024971,"363 ML megestrol 40 MG/ML Oral Suspension [MEGEROL] by Hanmi"
2024972,"363 ML megestrol 40 MG/ML Oral Suspension"
2024985,"300 ML megestrol 40 MG/ML Oral Suspension [NEOXIA]"
2024986,"300 ML megestrol 40 MG/ML Oral Suspension [NEOXIA] by Reyon"
2024987,"300 ML megestrol 40 MG/ML Oral Suspension"
2025299,"240 ML megestrol 40 MG/ML Oral Suspension [MEGEROL]"
2025300,"240 ML megestrol 40 MG/ML Oral Suspension [MEGEROL] by Hanmi"
2025639,"120 ML megestrol 40 MG/ML Oral Suspension [MEGEROL]"
2025640,"120 ML megestrol 40 MG/ML Oral Suspension [MEGEROL] by Hanmi"
2025641,"120 ML megestrol 40 MG/ML Oral Suspension"
2027457,"10 ML megestrol 40 MG/ML Oral Suspension [MEGEPRO]"
2027458,"10 ML megestrol 40 MG/ML Oral Suspension [MEGEPRO] by Dasan"
2027849,"5.2 ML megestrol 125 MG/ML Oral Suspension [APETROL ES] by LG"
2028451,"5 ML megestrol 125 MG/ML Oral Suspension [MEGACE F] by Boryung"
2028452,"5 ML megestrol 125 MG/ML Oral Suspension by Daewon"
2028568,"4 ML degarelix 22.1 MG/ML Injectable Solution [Firmagon] by Ferring"
2028569,"4 ML degarelix 22.1 MG/ML Injectable Solution [Firmagon]"
2028570,"4 ML degarelix 22.1 MG/ML Injectable Solution"
2028959,"2.8 ML leuprolide 5 MG/ML Injectable Solution [Lucrin] by Abbott"
2028960,"2.8 ML leuprolide 5 MG/ML Injectable Solution [Lucrin]"
2028961,"2.8 ML leuprolide 5 MG/ML Injectable Solution [LORELIN] by Dongkook"
2032005,"1 ML leuprolide 3.75 MG/ML Injectable Solution [Leuplin] by CJ"
2032094,"1 ML leuprolide 22.5 MG/ML Prefilled Syringe"
2032095,"1 ML leuprolide 22.5 MG/ML Prefilled Syringe [LEUPLIN DPS] by Takeda"
2032096,"1 ML leuprolide 22.5 MG/ML Prefilled Syringe [LEUPLIN DPS]"
2032097,"1 ML leuprolide 11.25 MG/ML Prefilled Syringe [LEUPLIN DPS] by Takeda"
2032098,"1 ML leuprolide 11.25 MG/ML Prefilled Syringe [LEUPLIN DPS]"
2032099,"1 ML leuprolide 11.25 MG/ML Prefilled Syringe [LEUPLIN DPS] by CJ"
2032100,"1 ML leuprolide 3.75 MG/ML Prefilled Syringe [LEUPLIN DPS] by Takeda"
2032101,"1 ML leuprolide 3.75 MG/ML Prefilled Syringe [LEUPLIN DPS]"
2032102,"1 ML leuprolide 3.75 MG/ML Prefilled Syringe [LEUPLIN DPS] by CJ"
2032103,"1 ML leuprolide 3.75 MG/ML Injectable Solution [Leuplin] by Takeda"
2032104,"1 ML leuprolide 3.75 MG/ML Injectable Solution [Leuplin]"
2032117,"1 ML triptorelin 0.11 MG/ML Prefilled Syringe [DECAPEPTYL] by Ferring"
2032250,"1 ML megestrol 40 MG/ML Oral Suspension [NEOXIA]"
2032251,"1 ML megestrol 40 MG/ML Oral Suspension [NEOXIA] by Reyon"
2032252,"1 ML megestrol 40 MG/ML Oral Suspension [MEGETROL]"
2032253,"1 ML megestrol 40 MG/ML Oral Suspension [MEGETROL] by Dongsung"
2032254,"1 ML megestrol 40 MG/ML Oral Suspension [MEGEROL]"
2032255,"1 ML megestrol 40 MG/ML Oral Suspension [MEGEROL] by Hanmi"
2032256,"1 ML megestrol 40 MG/ML Oral Suspension [MEGAET]"
2032257,"1 ML megestrol 40 MG/ML Oral Suspension [MEGAET] by TDS Pharm"
2032258,"1 ML megestrol 40 MG/ML Oral Suspension [J TROL]"
2032259,"1 ML megestrol 40 MG/ML Oral Suspension [J TROL] by JW"
2032260,"1 ML megestrol 40 MG/ML Oral Suspension [MEGESIA]"
2032261,"1 ML megestrol 40 MG/ML Oral Suspension [MEGESIA] by Dalim Biotech"
2032262,"1 ML megestrol 40 MG/ML Oral Suspension [APETROL]"
2032263,"1 ML megestrol 40 MG/ML Oral Suspension [APETROL] by LG"
2032264,"1 ML megestrol 40 MG/ML Oral Suspension [Megace]"
2032265,"1 ML megestrol 40 MG/ML Oral Suspension [Megace] by Boryung"
2032266,"1 ML megestrol 40 MG/ML Oral Suspension by BC World"
2032267,"1 ML megestrol 40 MG/ML Oral Suspension by Daewon"
2032268,"1 ML megestrol 40 MG/ML Oral Suspension [MEGEROX]"
2032269,"1 ML megestrol 40 MG/ML Oral Suspension [MEGEROX] by Jeil"
2032270,"1 ML megestrol 40 MG/ML Oral Suspension [MEGESTAR]"
2032271,"1 ML megestrol 40 MG/ML Oral Suspension [MEPISTOL]"
2032272,"1 ML megestrol 40 MG/ML Oral Suspension [MEPISTOL] by Ildong"
2043190,"degarelix 128 MG Injection"
2043249,"degarelix 128 MG Injection [Firmagon] by Ferring"
2043250,"degarelix 128 MG Injection [Firmagon]"
2043251,"degarelix 128 MG [Firmagon]"
2043252,"degarelix 128 MG"
2043253,"degarelix 22.1 MG/ML Injectable Solution [Firmagon]"
2043254,"degarelix 22.1 MG/ML Injectable Solution"
2043255,"degarelix 22.1 MG/ML [Firmagon]"
2043256,"degarelix 22.1 MG/ML"
2058156,"medroxyprogesterone 5 MG Oral Tablet [PROGEN]"
2058157,"medroxyprogesterone 5 MG Oral Tablet [PROGEN] by Myungmoon"
2058158,"medroxyprogesterone 5 MG [PROGEN]"
2058159,"medroxyprogesterone 2.5 MG Oral Tablet [PROGEN]"
2058160,"medroxyprogesterone 2.5 MG Oral Tablet [PROGEN] by Myungmoon"
2058161,"medroxyprogesterone 2.5 MG [PROGEN]"
2058162,"medroxyprogesterone Oral Tablet [PROGEN]"
2059809,"goserelin 10.8 MG Prefilled Syringe [Zoladex LA] by Astrazeneca"
2059810,"goserelin 10.8 MG Prefilled Syringe [Zoladex LA]"
2059811,"goserelin 3.6 MG Prefilled Syringe [Zoladex] by Astrazeneca"
2059812,"goserelin Prefilled Syringe [Zoladex LA]"
2060291,"flutamide 250 MG Oral Tablet [Eulexin] by MSD"
2061378,"leuprolide 22.5 MG/ML Prefilled Syringe"
2061379,"leuprolide 22.5 MG/ML Prefilled Syringe [LEUPLIN DPS]"
2061380,"leuprolide 22.5 MG/ML"
2061381,"leuprolide 22.5 MG/ML [LEUPLIN DPS]"
2061382,"leuprolide 45 MG Prefilled Syringe [Eligard] by Hanall"
2061383,"leuprolide 30 MG Prefilled Syringe [Eligard]"
2061384,"leuprolide 30 MG Prefilled Syringe [Eligard] by Hanall"
2061385,"leuprolide 30 MG Prefilled Syringe [LUCRIN PDS] by Abbvie"
2061386,"leuprolide 30 MG Prefilled Syringe [LUCRIN PDS] by Abbott"
2061387,"leuprolide 30 MG Prefilled Syringe [LUCRIN PDS]"
2061388,"leuprolide 30 MG [LUCRIN PDS]"
2061389,"leuprolide 22.5 MG Prefilled Syringe [Eligard] by Hanall"
2061393,"leuprolide 11.3 MG Prefilled Syringe [LUCRIN PDS] by Abbott"
2061394,"leuprolide 11.3 MG Prefilled Syringe [LUCRIN PDS]"
2061396,"leuprolide 11.3 MG [LUCRIN PDS]"
2061397,"leuprolide 7.5 MG Prefilled Syringe [Eligard] by Hanall"
2061405,"leuprolide 3.75 MG Prefilled Syringe by Sandoz"
2061406,"leuprolide 3.75 MG Prefilled Syringe [LOIRIN] by Novartis"
2061407,"leuprolide 3.75 MG Prefilled Syringe [LOIRIN]"
2061408,"leuprolide 3.75 MG Prefilled Syringe [LUCRIN PDS] by Abbott"
2061409,"leuprolide 3.75 MG Prefilled Syringe [LUCRIN PDS]"
2061412,"leuprolide 3.75 MG [LOIRIN]"
2061413,"leuprolide 3.75 MG [LUCRIN PDS]"
2061415,"leuprolide 11.25 MG/ML Prefilled Syringe [LEUPLIN DPS]"
2061416,"leuprolide 11.25 MG/ML [LEUPLIN DPS]"
2061417,"leuprolide 5 MG/ML Injectable Solution [Lucrin]"
2061418,"leuprolide 3.75 MG/ML Prefilled Syringe [LEUPLIN DPS]"
2061419,"leuprolide 3.75 MG/ML Injectable Solution [Leuplin]"
2061420,"leuprolide 3.75 MG/ML [Leuplin]"
2061421,"leuprolide 3.75 MG/ML [LEUPLIN DPS]"
2061424,"leuprolide Prefilled Syringe [LEUPLIN DPS]"
2061425,"leuprolide Prefilled Syringe [LOIRIN]"
2061426,"leuprolide Prefilled Syringe [LUCRIN PDS]"
2061427,"leuprolide Injectable Solution [Lucrin]"
2061428,"leuprolide Injectable Solution [Leuplin]"
2062130,"bicalutamide 50 MG Oral Tablet [CASDEL]"
2062131,"bicalutamide 50 MG Oral Tablet [CASDEL] by LG"
2062132,"bicalutamide 50 MG Oral Tablet [BICALU]"
2062133,"bicalutamide 50 MG Oral Tablet [BICALU] by Hanmi"
2062135,"bicalutamide 50 MG Oral Tablet [CADEXO] by Sandoz"
2062136,"bicalutamide 50 MG Oral Tablet [CADEXO]"
2062137,"bicalutamide 50 MG [CASDEL]"
2062138,"bicalutamide 50 MG [BICALU]"
2062139,"bicalutamide 50 MG [CADEXO]"
2062140,"bicalutamide Oral Tablet [BICALU]"
2062141,"bicalutamide Oral Tablet [CADEXO]"
2062184,"triptorelin 22.5 MG Injection [DIPHERELINE SR] by Ipsen"
2062185,"triptorelin 22.5 MG Injection [DIPHERELINE SR]"
2062186,"triptorelin 22.5 MG [DIPHERELINE SR]"
2062187,"triptorelin 11.25 MG Injection [DIPHERELINE PR] by Ipsen"
2062188,"triptorelin 11.25 MG Injection [DIPHERELINE PR]"
2062189,"triptorelin 11.25 MG [DIPHERELINE PR]"
2062190,"triptorelin 3.75 MG Injection [DIPHERELINE PR] by Ipsen"
2062191,"triptorelin 3.75 MG Injection [DIPHERELINE PR]"
2062192,"triptorelin 3.75 MG Prefilled Syringe [DECAPEPTYL] by Ferring"
2062193,"triptorelin 3.75 MG Prefilled Syringe [DECAPEPTYL]"
2062194,"triptorelin 3.75 MG [DECAPEPTYL]"
2062195,"triptorelin 3.75 MG [DIPHERELINE PR]"
2062196,"triptorelin Injection [DIPHERELINE PR]"
2062197,"triptorelin Injection [DIPHERELINE SR]"
2068799,"megestrol Oral Suspension [MEGEROX]"
2068862,"megestrol Oral Suspension [MEGESTAR]"
2068899,"megestrol 160 MG Oral Tablet [MEGAPLEX]"
2068900,"megestrol 160 MG Oral Tablet [MEGAPLEX] by Handok"
2068901,"megestrol 160 MG [MEGAPLEX]"
2068902,"megestrol 40 MG Oral Tablet [MEGAPLEX]"
2068903,"megestrol 40 MG Oral Tablet [MEGAPLEX] by Handok"
2068904,"megestrol 40 MG [MEGAPLEX]"
2068905,"megestrol 40 MG/ML Oral Suspension [MEGEROX]"
2068906,"megestrol 40 MG/ML Oral Suspension [MEGESTAR]"
2068907,"megestrol 40 MG/ML Oral Suspension [MEPISTOL]"
2068908,"megestrol 40 MG/ML [MEGEROX]"
2068909,"megestrol 40 MG/ML [MEGESTAR]"
2068910,"megestrol 40 MG/ML [MEPISTOL]"
2068911,"megestrol Oral Tablet [MEGAPLEX]"
2068912,"megestrol Oral Suspension [MEPISTOL]"
2904377,"1 ML medroxyprogesterone 150 MG/ML Injection [Depo-Ralovera]"
2904417,"1 ML triptorelin 0.1 MG/ML Injection [DECAPEPTYL] Box of 28"
2904418,"1 ML triptorelin 0.1 MG/ML Injection [DECAPEPTYL] Box of 7"
2904419,"1 ML triptorelin 0.1 MG/ML Injection [DECAPEPTYL]"
2915822,"cyproterone 100 MG Oral Tablet [Cyrotone] Box of 50"
2915823,"cyproterone 100 MG Oral Tablet [Cyrotone]"
2915824,"cyproterone 100 MG Oral Tablet Box of 50 by Pharmacor"
2915825,"cyproterone 100 MG Oral Tablet Box of 50 by Ascent"
2915826,"cyproterone 100 MG Oral Tablet Box of 50 by APO"
2915827,"cyproterone 100 MG Oral Tablet Box of 20 by Pharmacor"
2915828,"cyproterone 100 MG Oral Tablet by Pharmacor"
2915829,"cyproterone 100 MG Oral Tablet by Ascent"
2915830,"cyproterone 100 MG Oral Tablet by APO"
2915831,"cyproterone 100 MG Oral Tablet [Anterone] Box of 50"
2915832,"cyproterone 100 MG Oral Tablet [Anterone] Box of 20"
2915833,"cyproterone 100 MG Oral Tablet [Anterone]"
2915834,"cyproterone 100 MG [Cyrotone]"
2915835,"cyproterone 100 MG [Anterone]"
2915836,"cyproterone 50 MG Oral Tablet Box of 50 by Pharmacor"
2915837,"cyproterone 50 MG Oral Tablet Box of 50 by Ascent"
2915838,"cyproterone 50 MG Oral Tablet Box of 50 by APO"
2915839,"cyproterone 50 MG Oral Tablet Box of 20 by Pharmacor"
2915840,"cyproterone 50 MG Oral Tablet Box of 20 by Ascent"
2915841,"cyproterone 50 MG Oral Tablet Box of 20 by APO"
2915842,"cyproterone 50 MG Oral Tablet by Pharmacor"
2915843,"cyproterone 50 MG Oral Tablet by Ascent"
2915844,"cyproterone 50 MG Oral Tablet by APO"
2915845,"cyproterone 50 MG Oral Tablet [Anterone] Box of 50"
2915846,"cyproterone 50 MG Oral Tablet [Anterone] Box of 20"
2915847,"cyproterone 50 MG Oral Tablet [Anterone]"
2915848,"cyproterone 50 MG [Anterone]"
2915849,"cyproterone Oral Tablet [Anterone]"
2921252,"medroxyprogesterone 2.5 MG Oral Tablet [Ralovera] Box of 56"
2921253,"medroxyprogesterone 2.5 MG Oral Tablet [Ralovera] Box of 28"
2921254,"medroxyprogesterone 2.5 MG Oral Tablet [Ralovera]"
2921255,"medroxyprogesterone 2.5 MG [Ralovera]"
2921256,"medroxyprogesterone 150 MG/ML Injection [Depo-Ralovera]"
2921643,"goserelin 10.8 MG Drug Implant by Astrazeneca"
2921644,"goserelin 3.6 MG Drug Implant by Astrazeneca"
2924473,"bicalutamide 50 MG Oral Tablet [Bicalox] Box of 500"
2924474,"bicalutamide 50 MG Oral Tablet [Bicalox] Box of 100"
2924475,"bicalutamide 50 MG Oral Tablet [Bicalox] Box of 98"
2924476,"bicalutamide 50 MG Oral Tablet [Bicalox] Box of 56"
2924477,"bicalutamide 50 MG Oral Tablet Box of 30 by Dr Reddy's"
2924478,"bicalutamide 50 MG Oral Tablet Box of 28 by Scp"
2924479,"bicalutamide 50 MG Oral Tablet Box of 28 by Astron"
2924480,"bicalutamide 50 MG Oral Tablet Box of 28 by Chemmart"
2924481,"bicalutamide 50 MG Oral Tablet Box of 28 by Terry White Chemists"
2924482,"bicalutamide 50 MG Oral Tablet Box of 28 by Intas"
2924483,"bicalutamide 50 MG Oral Tablet Box of 28 by APO"
2924484,"bicalutamide 50 MG Oral Tablet Box of 28 by Dr Reddy's"
2924485,"bicalutamide 50 MG Oral Tablet Box of 28 by Ameda"
2924486,"bicalutamide 50 MG Oral Tablet by Scp"
2924487,"bicalutamide 50 MG Oral Tablet by Astron"
2924488,"bicalutamide 50 MG Oral Tablet by Chemmart"
2924489,"bicalutamide 50 MG Oral Tablet by Terry White Chemists"
2924490,"bicalutamide 50 MG Oral Tablet by Intas"
2924491,"bicalutamide 50 MG Oral Tablet by APO"
2924492,"bicalutamide 50 MG Oral Tablet by Dr Reddy's"
2924493,"bicalutamide 50 MG Oral Tablet by Ameda"
2924494,"bicalutamide 50 MG Oral Tablet [Bicalide] Box of 28"
2924495,"bicalutamide 50 MG Oral Tablet [Bicalide]"
2924496,"bicalutamide 50 MG Delayed Release Oral Tablet [Cosudex]"
2924497,"bicalutamide 50 MG Delayed Release Oral Tablet [Cosucor] Box of 28"
2924498,"bicalutamide 50 MG Delayed Release Oral Tablet [Cosucor]"
2924499,"bicalutamide 50 MG Delayed Release Oral Tablet [Cosamide] Box of 100"
2924500,"bicalutamide 50 MG Delayed Release Oral Tablet [Cosamide] Box of 90"
2924501,"bicalutamide 50 MG Delayed Release Oral Tablet [Cosamide] Box of 40"
2924502,"bicalutamide 50 MG Delayed Release Oral Tablet [Cosamide] Box of 30"
2924503,"bicalutamide 50 MG Delayed Release Oral Tablet [Cosamide] Box of 28"
2924504,"bicalutamide 50 MG Delayed Release Oral Tablet [Cosamide] Box of 10"
2924505,"bicalutamide 50 MG Delayed Release Oral Tablet [Cosamide]"
2924506,"bicalutamide 50 MG Delayed Release Oral Tablet [Bicalox] Box of 500"
2924507,"bicalutamide 50 MG Delayed Release Oral Tablet [Bicalox] Box of 100"
2924508,"bicalutamide 50 MG Delayed Release Oral Tablet [Bicalox] Box of 98"
2924509,"bicalutamide 50 MG Delayed Release Oral Tablet [Bicalox] Box of 56"
2924510,"bicalutamide 50 MG Delayed Release Oral Tablet [Bicalox] Box of 28"
2924511,"bicalutamide 50 MG Delayed Release Oral Tablet [Bicalox]"
2924512,"bicalutamide 50 MG Delayed Release Oral Tablet [Bicalaccord] Box of 28"
2924513,"bicalutamide 50 MG Delayed Release Oral Tablet [Bicalaccord]"
2924514,"bicalutamide 50 MG Delayed Release Oral Tablet [Calutex] Box of 28"
