concept_id,concept_name,domain_id,vocabulary
1634190,AJCC/UICC 7th clinical T1a1 Category,Measurement,Cancer Modifier
1633417,AJCC/UICC 7th clinical T1a2 Category,Measurement,Cancer Modifier
1634662,AJCC/UICC 7th clinical T1b Category,Measurement,Cancer Modifier
1633454,AJCC/UICC 7th clinical T1b1 Category,Measurement,Cancer Modifier
1634126,AJCC/UICC 7th clinical T1b2 Category,Measurement,Cancer Modifier
1634783,AJCC/UICC 7th clinical T1b3 Category,Measurement,Cancer Modifier
1635861,AJCC/UICC 7th clinical T1c Category,Measurement,Cancer Modifier
1634258,AJCC/UICC 7th clinical T1c1 Category,Measurement,Cancer Modifier
1634858,AJCC/UICC 7th clinical T1c2 Category,Measurement,Cancer Modifier
1634588,AJCC/UICC 7th clinical T1c3 Category,Measurement,Cancer Modifier
1635583,AJCC/UICC 7th clinical T1d Category,Measurement,Cancer Modifier
1633858,AJCC/UICC 7th clinical T1mi Category,Measurement,Cancer Modifier
1634029,AJCC/UICC 7th clinical T2 Category,Measurement,Cancer Modifier
1635700,AJCC/UICC 7th clinical T2a Category,Measurement,Cancer Modifier
1635026,AJCC/UICC 7th clinical T2a1 Category,Measurement,Cancer Modifier
1634993,AJCC/UICC 7th clinical T2a2 Category,Measurement,Cancer Modifier
1633958,AJCC/UICC 7th clinical T2b Category,Measurement,Cancer Modifier
1634936,AJCC/UICC 7th clinical T2c Category,Measurement,Cancer Modifier
1634277,AJCC/UICC 7th clinical T2d Category,Measurement,Cancer Modifier
1633549,AJCC/UICC 7th T1 Category,Measurement,Cancer Modifier
1633764,AJCC/UICC 7th T1a Category,Measurement,Cancer Modifier
1634676,AJCC/UICC 7th T1a1 Category,Measurement,Cancer Modifier
1634521,AJCC/UICC 7th T1a2 Category,Measurement,Cancer Modifier
1634319,AJCC/UICC 7th T1b Category,Measurement,Cancer Modifier
1634668,AJCC/UICC 7th T1b1 Category,Measurement,Cancer Modifier
1635493,AJCC/UICC 7th T1b2 Category,Measurement,Cancer Modifier
1634255,AJCC/UICC 7th T1b3 Category,Measurement,Cancer Modifier
1635626,AJCC/UICC 7th T1c Category,Measurement,Cancer Modifier
1634753,AJCC/UICC 7th T1c1 Category,Measurement,Cancer Modifier
1635219,AJCC/UICC 7th T1c2 Category,Measurement,Cancer Modifier
1635328,AJCC/UICC 7th T1c3 Category,Measurement,Cancer Modifier
1633570,AJCC/UICC 7th T1d Category,Measurement,Cancer Modifier
1634186,AJCC/UICC 7th T1mi Category,Measurement,Cancer Modifier
1634506,AJCC/UICC 7th T2 Category,Measurement,Cancer Modifier
1635532,AJCC/UICC 7th T2a Category,Measurement,Cancer Modifier
1635827,AJCC/UICC 7th T2a1 Category,Measurement,Cancer Modifier
1634535,AJCC/UICC 7th T2a2 Category,Measurement,Cancer Modifier
1635301,AJCC/UICC 7th T2b Category,Measurement,Cancer Modifier
1635192,AJCC/UICC 7th T2c Category,Measurement,Cancer Modifier
1634572,AJCC/UICC 7th T2d Category,Measurement,Cancer Modifier
1633883,AJCC/UICC 8th clinical T1 Category,Measurement,Cancer Modifier
1635229,AJCC/UICC 8th clinical T1a Category,Measurement,Cancer Modifier
1634437,AJCC/UICC 8th clinical T1a1 Category,Measurement,Cancer Modifier
1634945,AJCC/UICC 8th clinical T1a2 Category,Measurement,Cancer Modifier
1633531,AJCC/UICC 8th clinical T1b Category,Measurement,Cancer Modifier
1635568,AJCC/UICC 8th clinical T1b1 Category,Measurement,Cancer Modifier
1633980,AJCC/UICC 8th clinical T1b2 Category,Measurement,Cancer Modifier
1635512,AJCC/UICC 8th clinical T1b3 Category,Measurement,Cancer Modifier
1635647,AJCC/UICC 8th clinical T1c Category,Measurement,Cancer Modifier
1633432,AJCC/UICC 8th clinical T1c1 Category,Measurement,Cancer Modifier
1634749,AJCC/UICC 8th clinical T1c2 Category,Measurement,Cancer Modifier
1635322,AJCC/UICC 8th clinical T1c3 Category,Measurement,Cancer Modifier
1634636,AJCC/UICC 8th clinical T1d Category,Measurement,Cancer Modifier
1633949,AJCC/UICC 8th clinical T1mi Category,Measurement,Cancer Modifier
1634651,AJCC/UICC 8th clinical T2 Category,Measurement,Cancer Modifier
1635635,AJCC/UICC 8th clinical T2a Category,Measurement,Cancer Modifier
1634840,AJCC/UICC 8th clinical T2a1 Category,Measurement,Cancer Modifier
1633896,AJCC/UICC 8th clinical T2a2 Category,Measurement,Cancer Modifier
1635451,AJCC/UICC 8th clinical T2b Category,Measurement,Cancer Modifier
1635287,AJCC/UICC 8th clinical T2c Category,Measurement,Cancer Modifier
1635071,AJCC/UICC 8th clinical T2d Category,Measurement,Cancer Modifier
1635793,AJCC/UICC 8th T1 Category,Measurement,Cancer Modifier
1634584,AJCC/UICC 8th T1a Category,Measurement,Cancer Modifier
1635220,AJCC/UICC 8th T1a1 Category,Measurement,Cancer Modifier
1633797,AJCC/UICC 8th T1a2 Category,Measurement,Cancer Modifier
1635687,AJCC/UICC 8th T1b Category,Measurement,Cancer Modifier
1635292,AJCC/UICC 8th T1b1 Category,Measurement,Cancer Modifier
1634402,AJCC/UICC 8th T1b2 Category,Measurement,Cancer Modifier
1633449,AJCC/UICC 8th T1b3 Category,Measurement,Cancer Modifier
1634817,AJCC/UICC 8th T1c Category,Measurement,Cancer Modifier
1635180,AJCC/UICC 8th T1c1 Category,Measurement,Cancer Modifier
1634211,AJCC/UICC 8th T1c2 Category,Measurement,Cancer Modifier
1635015,AJCC/UICC 8th T1c3 Category,Measurement,Cancer Modifier
1633579,AJCC/UICC 8th T1d Category,Measurement,Cancer Modifier
1635751,AJCC/UICC 8th T1mi Category,Measurement,Cancer Modifier
1633339,AJCC/UICC 8th T2 Category,Measurement,Cancer Modifier
1635181,AJCC/UICC 8th T2a Category,Measurement,Cancer Modifier
1633583,AJCC/UICC 8th T2a1 Category,Measurement,Cancer Modifier
1634149,AJCC/UICC 8th T2a2 Category,Measurement,Cancer Modifier
1634429,AJCC/UICC 8th T2b Category,Measurement,Cancer Modifier
1634169,AJCC/UICC 8th T2c Category,Measurement,Cancer Modifier
1633552,AJCC/UICC 8th T2d Category,Measurement,Cancer Modifier
1635661,AJCC/UICC clinical T1 Category,Measurement,Cancer Modifier
1633742,AJCC/UICC clinical T1a Category,Measurement,Cancer Modifier
1635676,AJCC/UICC clinical T1a1 Category,Measurement,Cancer Modifier
1635081,AJCC/UICC clinical T1a2 Category,Measurement,Cancer Modifier
1635039,AJCC/UICC clinical T1b Category,Measurement,Cancer Modifier
1635701,AJCC/UICC clinical T1b1 Category,Measurement,Cancer Modifier
1634659,AJCC/UICC clinical T1b2 Category,Measurement,Cancer Modifier
1635348,AJCC/UICC clinical T1b3 Category,Measurement,Cancer Modifier
1634320,AJCC/UICC clinical T1c Category,Measurement,Cancer Modifier
1634515,AJCC/UICC clinical T1c1 Category,Measurement,Cancer Modifier
1634184,AJCC/UICC clinical T1c2 Category,Measurement,Cancer Modifier
1633494,AJCC/UICC clinical T1c3 Category,Measurement,Cancer Modifier
1634931,AJCC/UICC clinical T1d Category,Measurement,Cancer Modifier
1635832,AJCC/UICC clinical T1mi Category,Measurement,Cancer Modifier
1635033,AJCC/UICC clinical T2 Category,Measurement,Cancer Modifier
1634689,AJCC/UICC clinical T2a Category,Measurement,Cancer Modifier
1635046,AJCC/UICC clinical T2a1 Category,Measurement,Cancer Modifier
1635269,AJCC/UICC clinical T2a2 Category,Measurement,Cancer Modifier
1633781,AJCC/UICC clinical T2b Category,Measurement,Cancer Modifier
1634514,AJCC/UICC clinical T2c Category,Measurement,Cancer Modifier
1633541,AJCC/UICC clinical T2d Category,Measurement,Cancer Modifier
1635564,AJCC/UICC T1 Category,Measurement,Cancer Modifier
1633880,AJCC/UICC T1a Category,Measurement,Cancer Modifier
1634674,AJCC/UICC T1a1 Category,Measurement,Cancer Modifier
1635553,AJCC/UICC T1a2 Category,Measurement,Cancer Modifier
1633921,AJCC/UICC T1b Category,Measurement,Cancer Modifier
1633396,AJCC/UICC T1b1 Category,Measurement,Cancer Modifier
1635666,AJCC/UICC T1b2 Category,Measurement,Cancer Modifier
1633760,AJCC/UICC T1b3 Category,Measurement,Cancer Modifier
1633529,AJCC/UICC T1c Category,Measurement,Cancer Modifier
1635069,AJCC/UICC T1c1 Category,Measurement,Cancer Modifier
1635668,AJCC/UICC T1c2 Category,Measurement,Cancer Modifier
1634701,AJCC/UICC T1c3 Category,Measurement,Cancer Modifier
1634100,AJCC/UICC T1d Category,Measurement,Cancer Modifier
1635083,AJCC/UICC T1mi Category,Measurement,Cancer Modifier
1635562,AJCC/UICC T2 Category,Measurement,Cancer Modifier
1635327,AJCC/UICC T2a Category,Measurement,Cancer Modifier
1633714,AJCC/UICC T2a1 Category,Measurement,Cancer Modifier
1635685,AJCC/UICC T2a2 Category,Measurement,Cancer Modifier
1633593,AJCC/UICC T2b Category,Measurement,Cancer Modifier
1635270,AJCC/UICC T2c Category,Measurement,Cancer Modifier
1633678,AJCC/UICC T2d Category,Measurement,Cancer Modifier
